year,donor,type_donor,amount_nominal,issue_area
2018,Bahrain,public,212447,Health
2010,Dutch Postcode Lottery (Netherlands),private,2034473,Humanitarian Law and Action
2004,Georgia,public,19367.97545,"Labour, Economic Affairs, Science"
2018,Switzerland,public,4437342.709,"Labour, Economic Affairs, Science"
2009,Finland,public,1102248.604,"Labour, Economic Affairs, Science"
2020,Switzerland,public,685184.1793,Humanitarian Law and Action
2020,Norway,public,13450000,Health
2016,Imperial College of Science Technology and Medicine,private,39000,Health
2016,Alliance for Health Policy and Systems Research (AHPSR),private,225000,Health
2016,West African Health Organisation (WAHO),public,66500,Health
2011,Slovakia,public,153975.8255,"Labour, Economic Affairs, Science"
2018,France,public,18904403.7,"Labour, Economic Affairs, Science"
2011,Cyprus,public,108240.3074,Peace
2002,Madagascar,public,12427,Health
2019,International Federation of Anti-Leprosy Associations,private,22000,Health
2018,Tuvalu,public,1456.206929,"Labour, Economic Affairs, Science"
2020,United Kingdom,public,5252064.52,Health
2018,UN,public,51500,Health
2006,UN,public,326542,Humanitarian Law and Action
2019,Task Force for Global Health (TFGH),private,75000,Health
2016,Netherlands,public,7516609,Health
2020,United Kingdom,public,7881259.353,"Labour, Economic Affairs, Science"
2017,Arab Gulf Programme for Development (AGFUND),public,19500,Health
2020,Norway,public,12638554,Humanitarian Law and Action
2013,Bahamas,public,70274.80732,"Labour, Economic Affairs, Science"
2013,Turkey,public,284151.3253,Humanitarian Law and Action
2003,Holy See,public,2000,Humanitarian Law and Action
2003,Guyana,public,1327.136194,Peace
2016,Clarke Mosquito,private,454.5,Health
2007,Armenia,public,1096,Humanitarian Law and Action
2011,South Africa,public,1225257.364,"Labour, Economic Affairs, Science"
2004,Poland,public,44067,Humanitarian Law and Action
2016,Slovakia,public,138763.7838,"Labour, Economic Affairs, Science"
2008,Tonga,public,1910.722767,Peace
2013,Egypt,public,43270.93205,Humanitarian Law and Action
2013,Slovenia,public,402131.1808,"Labour, Economic Affairs, Science"
2020,Ghana,public,179072.2072,"Labour, Economic Affairs, Science"
2020,Tanzania,public,46500,Health
2016,Poland,public,3543931.666,"Labour, Economic Affairs, Science"
2016,Switzerland,public,2029.644995,Humanitarian Law and Action
2010,Solomon Islands,public,27241.18952,"Labour, Economic Affairs, Science"
2013,Finland,public,27163702,Humanitarian Law and Action
2015,Sweden,public,2869317.598,Peace
2020,TDR Pooled Proxy Donor,private,22500,Health
2017,Myanmar,public,40947.82937,Humanitarian Law and Action
2007,United Kingdom,public,1099735,Humanitarian Law and Action
2005,Nauru,public,2162.511771,Peace
2000,Project People and places with no name,private,309624.3997,Humanitarian Law and Action
2006,European Union,public,117153000,Health
2007,Latvia,public,66990,Health
2012,India,public,3456307.242,"Labour, Economic Affairs, Science"
2018,Switzerland,public,151441224.6,Humanitarian Law and Action
2010,Bolivia,public,14829.77109,Peace
2015,Latvia,public,10989,Humanitarian Law and Action
2016,United States,public,1350000,Health
2003,Shin-Nyo-En Foundation,private,109244,Humanitarian Law and Action
2001,Morocco,public,10564.02082,Humanitarian Law and Action
2006,Grenada,public,1856.738213,Peace
2014,Belgium,public,1103448,Humanitarian Law and Action
2000,Cote d'Ivoire,public,50974.54293,"Labour, Economic Affairs, Science"
2004,Switzerland,public,384088.0871,Humanitarian Law and Action
2016,UN,public,140500,Health
2002,Greece,public,798216,Humanitarian Law and Action
2007,United Arab Emirates,public,49305.79507,Humanitarian Law and Action
2014,Maldives,public,492.2769281,Humanitarian Law and Action
2017,Grenada,public,2569.065932,Peace
2008,Egypt,public,397490.5133,"Labour, Economic Affairs, Science"
2020,Qatar,public,795413.7577,"Labour, Economic Affairs, Science"
2001,Saint Kitts and Nevis,public,3595,Health
2000,Ecuador,public,66716.68118,"Labour, Economic Affairs, Science"
2012,Central African Republic,public,31081.89966,"Labour, Economic Affairs, Science"
2016,Niger,public,9290,Health
2013,Lebanon,public,6146.267575,"Labour, Economic Affairs, Science"
2008,Thailand,public,2752,Humanitarian Law and Action
2013,Sweden,public,2602718.297,"Labour, Economic Affairs, Science"
2016,New Zealand,public,450363.002,"Labour, Economic Affairs, Science"
2003,Austria,public,1256728.483,Peace
2003,Belarus,public,25214.1133,Peace
2014,Saudi Arabia,public,1000000,Humanitarian Law and Action
2016,Brunei Darussalam,public,38.5632549,"Labour, Economic Affairs, Science"
2010,Trinidad and Tobago,public,121677.3132,"Labour, Economic Affairs, Science"
2006,Madagascar,public,20780.11362,"Labour, Economic Affairs, Science"
2018,Azerbaijan,public,289702,Health
2017,African Development Bank,public,15550000,Health
2013,Zambia,public,3270.025806,"Labour, Economic Affairs, Science"
2017,ITU,public,38500,Health
2000,Dominica,public,4125,Health
2017,Saint Kitts and Nevis,public,2569.065932,Peace
2014,Thailand,public,671798.6152,Peace
2004,Mexico,public,81038,Humanitarian Law and Action
2018,Switzerland,public,950000,Health
2009,Dominican Republic,public,17948,Humanitarian Law and Action
2006,Stichting Vluchteling,private,672625,Humanitarian Law and Action
2007,Eswatini (formerly known as Swaziland),public,6188.945705,"Labour, Economic Affairs, Science"
2012,Lesotho,public,1518.635276,"Labour, Economic Affairs, Science"
2012,Wellcome Trust,private,1393290.576,Health
2012,USA for UNHCR,private,4415672,Humanitarian Law and Action
2018,Malta,public,62201.71534,"Labour, Economic Affairs, Science"
2010,Holy See,public,2453,Humanitarian Law and Action
2020,Sri Lanka,public,6067.771157,"Labour, Economic Affairs, Science"
2018,United States,public,144000,Health
2012,Cote d'Ivoire,public,3038.337009,"Labour, Economic Affairs, Science"
2009,NA,private,242662.2628,Humanitarian Law and Action
2017,Sackler Institute For Nutrition Science,private,33000,Health
2011,Saudi Arabia,public,1953030.85,Peace
2017,Djibouti,public,29780.8858,"Labour, Economic Affairs, Science"
2000,NA,private,7775,Humanitarian Law and Action
2017,Netherlands,public,694313.5519,"Labour, Economic Affairs, Science"
2011,Germany,public,55678221,Humanitarian Law and Action
2017,Saudi Arabia,public,136500,Health
2009,Switzerland,public,184765.3559,Health
2000,Ghana,public,7401.120482,Peace
2014,Morocco,public,31177.17494,Humanitarian Law and Action
2008,Jordan,public,113334.072,"Labour, Economic Affairs, Science"
2005,El Salvador,public,85205,Health
2013,Rwanda,public,5256.802582,Peace
2001,Mongolia,public,1039.626645,Peace
2011,Italy,public,21894964.43,"Labour, Economic Affairs, Science"
2018,New Zealand,public,139829.6115,"Labour, Economic Affairs, Science"
2011,Legacies,private,5519608.307,Humanitarian Law and Action
2020,Marshall Islands,public,2854.520008,Peace
2002,Maldives,public,4105.5,Health
2014,NA,private,12229425.06,"Labour, Economic Affairs, Science"
2000,Namibia,public,22488.76894,"Labour, Economic Affairs, Science"
2018,Luxembourg,public,1612500,Health
2003,Cyprus,public,137097,Health
2003,NA,private,143,Humanitarian Law and Action
2004,Canada,public,10685266,Humanitarian Law and Action
2013,Finland,public,1273939.912,"Labour, Economic Affairs, Science"
2017,Norway,public,3265664.797,"Labour, Economic Affairs, Science"
2000,Switzerland,public,320345.3489,Humanitarian Law and Action
2017,UN,public,12700000,Health
2009,Madagascar,public,25874.38037,"Labour, Economic Affairs, Science"
2017,Iran,public,2105624,Health
2018,Pakistan,public,48941.43778,Humanitarian Law and Action
2010,Japan,public,1092596.073,"Labour, Economic Affairs, Science"
2018,Business Development Center (BDC) of Jordan,private,12826,"Labour, Economic Affairs, Science"
2006,Mali,public,20780.11362,"Labour, Economic Affairs, Science"
2011,Bosnia and Herzegovina,public,3208.181595,"Labour, Economic Affairs, Science"
2016,Hungary,public,22198,Humanitarian Law and Action
2005,Ukraine,public,111134.401,"Labour, Economic Affairs, Science"
2008,Slovakia,public,23886.2883,Humanitarian Law and Action
2020,Norway,public,22350000,Health
2018,Belgium,public,3548000,Health
2017,Trinidad and Tobago,public,117138.1508,"Labour, Economic Affairs, Science"
2016,Hong Kong,public,109000,Health
2005,Sweden,public,4310190,Health
2012,Israel,public,102177.2793,Humanitarian Law and Action
2007,Slovenia,public,366180,Health
2004,Bhutan,public,5207,Humanitarian Law and Action
2006,New Zealand,public,654699.9903,"Labour, Economic Affairs, Science"
2020,Cote d'Ivoire,public,546.3869762,Humanitarian Law and Action
2002,Poland,public,20000,Humanitarian Law and Action
2008,Tunisia,public,112960.1418,"Labour, Economic Affairs, Science"
2018,Munich RE,private,250000,Health
2017,World Vision,private,362500,Health
2017,Turkey,public,564659.8124,Humanitarian Law and Action
2014,Finland,public,16991400.98,Humanitarian Law and Action
2010,Credit Suisse,private,479429.5938,Humanitarian Law and Action
2002,Myanmar,public,149.4924635,"Labour, Economic Affairs, Science"
2015,Egypt,public,271117,Humanitarian Law and Action
2017,Croatia,public,24957,Humanitarian Law and Action
2018,Israel,public,30835.5,Health
2010,New Zealand,public,441307.2703,"Labour, Economic Affairs, Science"
2007,Congo,public,53964,Humanitarian Law and Action
2018,Princeton Biomeditech Corporation,private,2139,Health
2004,Medecins Sans Frontieres,private,115356.2215,Humanitarian Law and Action
2006,NA,private,758811.1111,Humanitarian Law and Action
2015,Japan,public,32044768.13,Humanitarian Law and Action
2019,Algeria,public,37761.06261,Humanitarian Law and Action
2015,Philippines,public,684588.5361,"Labour, Economic Affairs, Science"
2020,Israel,public,2399786,Health
2002,Monaco,public,44000,Health
2021,FIA Foundation for the Automobile and Society,private,64500,Health
2012,Kuwait,public,658936.2728,"Labour, Economic Affairs, Science"
2010,United Kingdom,public,15883044,Health
2013,Ireland,public,13030631,Humanitarian Law and Action
2007,Benin,public,6188.945705,"Labour, Economic Affairs, Science"
2002,Barbados,public,34056.5,Health
2000,Panama,public,10073.76056,Humanitarian Law and Action
2011,Madagascar,public,11759.57894,"Labour, Economic Affairs, Science"
2011,NA,private,807,Humanitarian Law and Action
2005,Somalia,public,2162.511771,Peace
2007,Cyprus,public,95777.92477,Peace
2007,Turkey,public,1547701.5,Health
2008,Cuba,public,103179.9696,Peace
2012,Zimbabwe,public,7312.345859,Peace
2017,Zimbabwe,public,100000,Health
2011,Mauritius,public,67826.74693,"Labour, Economic Affairs, Science"
2005,Ecuador,public,93575,Health
2003,Cuba,public,39811.92339,Peace
2006,Australia,public,74510,Humanitarian Law and Action
2018,Georgia,public,11652.72328,"Labour, Economic Affairs, Science"
2003,Denmark,public,39071992,Humanitarian Law and Action
2003,Benin,public,10687.99563,Humanitarian Law and Action
2005,Netherlands,public,7297250,Health
2018,Barbados,public,33490,Health
2015,Sweden,public,11078627,Humanitarian Law and Action
2011,Canada,public,20736133,Health
2000,Kenya,public,10073.76056,Humanitarian Law and Action
2014,Liberia,public,1554.328926,"Labour, Economic Affairs, Science"
2019,Cabo Verde,public,3826.821967,"Labour, Economic Affairs, Science"
2010,Sweden,public,64634337.13,Humanitarian Law and Action
2020,NA,private,1303547,Humanitarian Law and Action
2010,Vietnam,public,89472.10966,"Labour, Economic Affairs, Science"
2000,Hungary,public,487030,Health
2013,Denmark,public,545564,Humanitarian Law and Action
2020,Niigata University,private,9500,Health
2014,Cuba,public,192067.6832,"Labour, Economic Affairs, Science"
2021,Azerbaijan,public,467500,Health
2018,Pakistan,public,349862.9182,"Labour, Economic Affairs, Science"
2017,Switzerland,public,2254000,Health
2015,Eswatini (formerly known as Swaziland),public,14.54725311,"Labour, Economic Affairs, Science"
2017,Luxembourg,public,167500,Health
2019,Australia,public,28652493,Humanitarian Law and Action
2016,UN,public,31500,Health
2020,Wellcome Trust,private,4840444.269,Health
2014,Famille Firmenich,private,54576.15611,Humanitarian Law and Action
2017,World Psychiatric Association (WPA),public,159500,Health
2020,Pakistan,public,12136.60739,"Labour, Economic Affairs, Science"
2010,Italy,public,6977376.676,"Labour, Economic Affairs, Science"
2017,Denmark,public,2246347.081,"Labour, Economic Affairs, Science"
2017,United Kingdom,public,2475515.186,Humanitarian Law and Action
2020,Croatia,public,233918,Humanitarian Law and Action
2004,Guinea,public,19367.97545,"Labour, Economic Affairs, Science"
2000,Ford Foundation,private,500000,Humanitarian Law and Action
2015,Iceland,public,106778.916,"Labour, Economic Affairs, Science"
2019,Tonga,public,2866.846117,"Labour, Economic Affairs, Science"
2004,Turkmenistan,public,8725.634739,Peace
2006,South Africa,public,865033.3415,"Labour, Economic Affairs, Science"
2018,Madagascar,public,1456.206929,"Labour, Economic Affairs, Science"
2007,Netherlands,public,1119971,Humanitarian Law and Action
2011,Takeda,private,1152000,Health
2016,GAVI,public,3850000,Health
2015,Argentina,public,15497928,Humanitarian Law and Action
2014,Uganda,public,16865.16669,Peace
2011,Estonia,public,9299,Humanitarian Law and Action
2012,NA,private,16365528.15,Health
2011,Slovenia,public,49542.70181,Humanitarian Law and Action
2016,Germany,public,16258532.01,Peace
2013,Somalia,public,1536.297179,"Labour, Economic Affairs, Science"
2016,China,public,23395493,Health
2009,Burundi,public,25874.38037,"Labour, Economic Affairs, Science"
2017,NA,private,6682000,Health
2016,Israel,public,1799513,Health
2005,Greece,public,1146136.95,Peace
2015,China,public,941841,Humanitarian Law and Action
2018,UN,public,2000,Humanitarian Law and Action
2007,Grenada,public,2176.820471,Peace
2005,Johnson & Johnson Ltd.,private,413000,Health
2015,United Kingdom,public,58187895,Humanitarian Law and Action
2016,Mauritania,public,130000,Health
2008,Holy See,public,2500,Humanitarian Law and Action
2020,Germany,public,25654464.02,"Labour, Economic Affairs, Science"
2013,NA,private,7274469,Humanitarian Law and Action
2019,Sierra Leone,public,4780,Health
2017,Saudi Arabia,public,5000000,Health
2016,Denmark,public,7427.524445,Health
2016,F. Hoffmann La Roche Ltd,private,507411.2487,Humanitarian Law and Action
2012,Cyprus,public,177527.8239,"Labour, Economic Affairs, Science"
2021,Universita degli Studi di Verona,private,47000,Health
2002,Andorra,public,8800,Humanitarian Law and Action
2014,Italy,public,11292839,Humanitarian Law and Action
2013,Qatar,public,527065.3703,"Labour, Economic Affairs, Science"
